Plan ID,Plan Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9,Run-10,Run-11,Run-12,Run-13,Run-14,Run-15,Run-16,Run-17,Run-18,Run-19,Run-20,Run-21,Run-22,Run-23,Run-24,Run-25,Run-26,Run-27,Run-28,Run-29
0,1.0,48,42,52,14,20,48,39,37,34,21,28,42,25,42,30,22,39,25,39,46,58,29,37,26,27,28,43,29,42,40
1,0.006944444444444444,322,302,315,284,290,318,302,295,298,309,278,281,294,301,295,275,290,294,276,305,304,307,303,283,303,290,289,291,294,286
2,0.006944444444444444,256,258,283,282,279,276,264,279,262,280,291,293,281,271,274,298,300,286,284,295,273,254,272,287,274,282,280,286,303,304
3,0.006944444444444444,276,297,261,280,285,259,286,283,298,264,270,263,276,281,284,281,269,280,290,257,277,289,279,273,273,279,270,282,256,267
4,0.06666666666666667,13,16,10,24,25,12,15,22,20,20,22,18,23,18,16,9,14,15,19,9,18,14,12,23,16,20,17,19,18,19
5,0.06666666666666667,14,17,15,19,21,12,12,16,12,17,18,15,20,10,15,17,13,21,13,15,12,24,18,20,17,11,17,18,15,11
6,0.06666666666666667,17,11,14,25,23,13,18,10,7,18,24,17,15,16,20,18,22,19,16,16,9,17,18,18,30,22,17,19,18,13
7,0.03333333333333333,21,15,16,25,16,21,29,18,25,20,15,33,17,25,28,25,14,17,24,19,17,19,30,24,19,29,20,16,24,19
8,0.03333333333333333,15,24,16,20,28,21,22,19,21,28,26,21,24,22,17,32,21,19,27,20,19,25,13,26,18,20,20,22,20,16
9,0.03333333333333333,18,18,18,27,13,20,13,21,23,23,28,17,25,14,21,23,18,24,12,18,13,22,18,20,23,19,27,18,10,25
